cid,crystal,inspiration_hits,rmsd_via_combine,n_inspirations,rmsd_via_place,n_inspiration_str,category,SMILES,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,ddG,num_heavy_atoms,LE
DAR-DIA-23aa0b97-6,x10178,"x0305,x0434",0.8504044492314972,2,6.704262025942901,two,Nitrile,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,0.3961169478369187,5.934000303336696,7.0844494728477905,-2.311691637304193,18,-0.1284273131835663
DAR-DIA-23aa0b97-13,x2964,"x0104,x0434,x0995",0.4854709054104064,3,0.4782190693195635,three,non-covalent,Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,0.6608133986429807,0.4782190693195635,0.7487741092390056,-2.3653263204512314,18,-0.1314070178028462
DAR-DIA-23aa0b97-14,x10996,"x0104,x0434,x0995",1.2618762072802543,3,0.3127110287469886,three,non-covalent,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,0.6481679469859641,1.2357897019719817,1.7026252221375153,-1.839025892250902,17,-0.10817799366181777
DAR-DIA-23aa0b97-17,x2569,"x0305,x0434",0.3673489107404871,2,0.5490607130970734,two,Nitrile,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,0.6211990985183413,0.5490607130970734,0.5081232352709548,-1.3605108043161636,18,-0.0755839335731202
DAR-DIA-23aa0b97-20,x2563,"x0434,x1093",1.9330825412048784,2,1.483181335845351,two,non-covalent,O=C(Cc1cncc2ccccc12)Nc1ccccc1,1.46537512711179,1.672828094375908,1.6037403779914006,-0.6607974063654183,20,-0.033039870318270916
DAR-DIA-842b4336-3,x2608,x0434,0.6806178390676687,1,1.08846017956561,one,non-covalent,Cc1ccc(NC(=O)Nc2cccnc2)s1,0.7658895971352527,0.9771376886089288,0.8082717287521567,-1.8032282150925312,16,-0.1127017634432832
DAR-DIA-842b4336-13,x2643,x0434,0.2835348303119031,1,0.6600156721624116,one,non-covalent,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,0.7962279824271437,1.2307289760544355,1.2961243912140532,-1.3961299791130841,16,-0.08725812369456776
WAR-XCH-eb7b662f-7,x10996,"x0305,x0434",0.4295919769579809,2,0.3127110287469886,two,non-covalent,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,0.9202938049883853,1.2357897019719817,1.6319052740675268,-2.6488392495698463,17,-0.1558140735041086
TRY-UNI-714a760b-3,x11317,"x0434,x0995,x1382",0.4604057389351751,3,1.0196896314293111,three,non-covalent,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,0.7519695299099846,1.0992256958581264,1.969208911426643,-1.698993011466655,19,-0.08942068481403447
TRY-UNI-714a760b-6,x2646,"x0107,x0434,x1382",0.754408009265838,3,0.505004400420872,three,non-covalent,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.8740683082044604,1.0367294550474404,1.5995756902656684,-2.3404331189444747,18,-0.13002406216358192
